,QueryText,KCCAns
1902,Asking about weather forecast ?,This week weather is Partly cloudy and  Possibility of light and medium Rainfall.
1904,ASKED ABOUT BRINJAL VERITY ?,"MANJARI GOTA ; The breed is flat and flat, leaves are small to medium size. There are tropical leaves and fruit bones. Fruits are pale pink and there are white stripes on the fruit. The fruit size is round in the middle of the body. The fruits of these varieties are delicious to taste and after 4 to 5 days of harvest. Average production of hectare is 300 to 400 quintals.

Vaishali: This type of tree is booty and flat, the leaves are trunks on trunk and fruit cross. Fruits and flowers come from zombies. The color of the fruit is attractive purple and there are white border stripes on it. Fruits are medium-sized oval. Average hectare production is 300 quintals."
1910,FERTILIZER SPRAY FOR GROWTH ON ONION ?,FERTILIZER SPRAY ON ONION- 00:52;34- 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
1916,BLIGHT ATTACK  on onion ?,Spray M-45 30 gm /15 liter water.(Mancozeb) INDOFIL
1918,ASKING ABOUT CONTROLL OF BLIGHT ATTACK IN ONION  ?,BLIGHT ATTACK IN ONION  : SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
1920,Asking about weather forecast?,This week weather is CLOUDY and   Possibility of Rainfall .
1936,FERTILIZER SPRAY ON ONION ?,FERTILIZER SPRAY ON ONION SPRAY 00 52 34 60 GM /15 Lit of Water.
1940,ASKED ABOUT FERTILIZERS FOR SUGARCANE ?,BY DRIP 19 19 19  3 KG  + 300 MILI MICROLLA / ACRE
1944,sking about weather forecast?,"TODAY  weather is cloudy,possiblity of light rainfall."
1948,VARIETIES OF BRINJAL ?,VARIETIES OF BRINJAL -MANJARI GOTA VAISHALI PRAGATI ARUNA KRUSHNA ARJUN GAURAV MEGHANA LALITA
1952,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of   LIGHT  Rainfall.
1956,Asking about weather forecast?,This week weather is CLOUDY and Possibility MEDIUM to HIGH Rainfall
1962,Asking about weather forecast?,This week weather is CLOUDY and Possibility light Rainfall
1964,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF -100-1800 RS/QTL
1966,Asking about weather forecast?,This week weather is CLOUDY and Possibility  light Rainfall.
1968,MUSHROOM PROJECT AGRICULTURE COLLEGE PUNE ?,MUSHROOM PROJECT AGRICULTURE COLLEGE PUNE -020 25537033 /038
1978,Asking About Market Rate black gram ?,Pune Market Rate of black gram 5600-6000  rupees/qtl.
1988,Asking About Market Rate pomegranate ?,Market Rate of pomegranate 10000-12000  rupees/qtl
1990,FARMER ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF onion -  SOLAPUR	LAL	QUINTAL	18234	100	1800 RS/QTL
1992,asked about attack of sucking pest,Spray Chloropyriphos 30 ml/15 Lit of Water.
1998,BLIGHT ATTACK ?,Spray M-45 30 gm /15 liter water.(Mancozeb 75% WP). INDOFIL
2004,Asking about weather forecast?,This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.
2012,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of LIGHT To MEDIUM Rainfall.
2014,ATTACK OF APHIDS FRENCH BEAN  ?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
2016,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19..... 60 GM /15 LITERS OF WATER
2018,SPRAY FOR GROWTH ?,SPRAY 19 19 19..... 60 GM +/15 LITERS OF WATER
2020,asked about nutrient for onion ?,"nutrient for onion - application of 10 26 26  , 3 bag / ekar"
2024,Asked about fungus attack?,Spray of bavistin 30gm/15 liter water.
2026,FERTILIZER DOSE FOR BANANA ?,FERTILIZER DOSE FOR BANANA = DRENCHING OF 00:52:34 4 KG/ACRE
2030,Asking about weather forecast ?,This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall
2036,ASKED ABOUT VARIETIES OF DRUMSTICK ?,VARIETIES OF DRUMSTICK  -MORINGA ODISI PKM-1 PKM-2 CO-1 SIDHIVINAYAK SHEVGA KONKAN RUCHIRA
2044,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 12 61 00 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
2052,CONTACT NUMBER OF NATIONAL HORTICULTURE BOARD PUNE ?,CONTACT NUMBER OF NATIONAL HORTICULTURE BOARD PUNE -020 25530582
2058,FARMER ASKED ABOUT MARKET RATE of onion?,MARKET RATE of onion-100-2500 RS/QTL
2060,ASKED ABOUT MARKET RATE OF ONION?,KOLHAPUR MARKET RATE OF ONION  - 800 -2000 RS/QUINTAL
2062,ASKED ABOUT MARKET RATE OF ONION  ?,SOLAPUR MARKET RATE OF ONION  - RS/QUINTAL
2064,asked about variety in custard apple ?,"VARIETIES OF CUSTARD APPLE ?
VARIETIES OF CUSTARD APPLE -BALANAGAR ARKA SAHAN TP-7 DAULATABAD DHARUR-6 PHULE PURANDAR"
2066,Farmer Asked About Market Rate?,Min -500    Max -  4500    Average -2500 RS/QUINTAL
2070,For Govt.Schemes?,Please visit Taluka Agriculture Officer for subsidy related information
2074,ASKED ABOUT MARKET RATE OF ONION  ?,MARKET RATE OF ONION = PUNE-MOSHI    800 - 1200 RS/QUINTAL
2080,ATTACK OF LEAF EATING CATERPILLAR ?,Spray Quinolphos 30 ml / 15 liter water
2086,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK ..TEMP -MIN.-20 DEGREE AND MAX.- 31
2090,For Govt.Schemes,Please visit Taluka Agriculture Officer for subsidy related information
2094,Asked about Market rate of onion?,Market rate of onion-1400-1800/qtl.
2098,ASKED ABOUT VARITIES OF BRINJAL ?,"VARITIES OF BRINJAL : NAMDHARI ( 538) , SIMENIS ( SHARVARI ),"
2100,FARMER ASKED ABOUT MARKET RATE of pomegranate?,MARKET RATE of pomegranate-1000-8000 RS/QTL
2102,ASKED ABOUT MARKET RATE OF ONION  ?,"SOLAPUR MARKET RATE OF ONION  -100-2500 RS/QUINTAL	
KOLHAPUR MARKET RATE OF ONION  -800-2000  RS/QUINTAL"
2122,FOR FLOWERING?,Spray of Boom flower 30 ml/15 lit of Water.
2128,fertilizer spray on melon?,you can drenching 00 52 34  -2 -3 kg  /acre
2132,ASKED ABOUT FERTILIZER SPRAY ON ONION?,SPRAY 12 61 00 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
2140,Asking about weather forecast ?,This week partially weather is cloudy and Possibility of light rainfall.
2142,Asking about weather forecast ?,This week -weather is cloudy and  NO Possibility of Rainfall
2144,Attack of Fruit Borer POMOGRANATE ?,Decis 100-4 ml/15 liter water.( Deltamethrin 100  % EC) Byer Crop Science
2148,YELLOWING,SPRAY MICROLLA 30 ml/15 LITER WATER
2150,ASKED ABOUT ATTACK OF CATERPILLAR ON FRENCH BEANS ?,ATTACK OF CATERPILLAR ON FRENCH  BEANS :Spray Tracer 3.5 ml / 15 lit of water -(Spinosad 45 SC ) Dow Agro Science
2154,asked about nutrient for tur ?,nutrient for tur - spray 12  61 00  . 60 gm / 15 liter water
2156,FENUGREEK RATE?,FENUGREEK RATE PENDHI 5 TO 7 RS /PENDHI
2160,asked about FERTILIZER ON banana ?,banana- 00 52 34 4 kg/acre through drip.
2164,FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM + bavistin 30 gm /15 Lit of Water.
2166,Attack of Jassids ON COTTON ?,SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE
2168,Asking about weather forecast ?,Todays weather is cloudy and light- moderate  Possibility of Rainfall .
2180,ASKED ABOUT FERTILIZER DOSE FRO GROWTH OF ONION ?,00:52:34-60 GRAM + MICROLA- 30 MILI / 15 LITER OF WATER
2182,Asking about weather forecast?,This Week Weather is Partly Cloudy and No Possibility of Rainfall.
2184,CUSTARD APPLE,PLANTING DISTANCE-5 BYE 5 METER FOR CUSTARD APPLE
2188,Asking about weather forecast?,"This week weather is cloudy,possiblity of light to medium rainfall."
2190,ASKED ABOUT FERTILIZER DOSE FOR POMEGRANATE ?,FERTILIZER DOSE FOR POMEGRANATE : 19 19 19 3 KILO + MAYKROLLA 400 MILEE PER ACRE
2192,ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF ONION ?,00:52:34-60 GRAM + MICROLA-30 MILI / 15 LITER OF WATER
2194,Asked about Market rate of onion?,Market rate of onion-1000-2200/qtl.
2198,THIS WEEK WEATHER IS MOSTLY CLEAR  AND NO RAINFALL.,THIS WEEK WEATHER IS MOSTLY CLEAR  AND NO RAINFALL.
2200,Asking about weather forecast?,This week weather is clear and no possibility of Rainfall.
2202,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLEAR  AND NO RAINFALL.
2204,FERTILIZER SPRAY ON ONION ?,SPRAY OF 00 52 34 60 GM /15 Lit of Water.
2208,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ON ONION ?,ABOUT CONTROLL OF BLIGHT ATTACK ON ONION SPRAY RIDOMIL GOLD 30 GM + MICROLLA 30 MILI  / 15 LITERS OF WATER.
2216,contact number of national research  center on grape  manjari,contact number of national research  center grape manjari - 020 2695 6000/ 01
2218,FERTILIZE DOSE FOR ONION ?,FERTILIZE DOSE FOR ONION = SPRAY 19:19:19 60 GM / 15 LITER WATER
2220,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418 /1800 233 3268
2224,FARMER ASKED ABOUT MARKET RATE OF fenugreek ?,MARKET RATE OF fenugreek  =  PUNE-MOSHI	LOCAL	NAG	1140	8	10RS/pendi
2228,ASKED ABOUT ATTACK RED MITE ON BANANA?,ATTACK RED MITE ON BANANA:  Spray Oberon 15 ml / 15Lit of Water.(Spiromesifen) BAYER CROP SCIENCE
2230,FERTILIZER DOSE FOR BANANA ?,10 26 26 1 BAG+POTASH 20 KG/ACR
2234,ASKING ABOUT SPRAY FOR CONTROLLING FLOWER DROP ?,SPRAY POTASSIUM NITRATE 13 00 45 100 GM + 30 ML NITROBENZINE  /15 LITERS OF WATER
2236,Asking About Market Rate of onion in solapur market ?,"In solapur market -
TODAY Market Rate of onion -Minimum- 1000 rupees/qtl and maximum 2500 -rupees/qtl"
2240,Asking about weather forecast?,This week weather is partially cloudy and possibility of light rainfall.
2244,ATTACK OF SHOOT BORER,Decis 100-4 ml/15 liter water.( Deltamethrin 100  % EC) Byer Crop Science
2252,Asking about weather forecast ?,"According to the Meteorological Department, this week the atmosphere will be partly cloudy and there is no possibility of rainfall
Today's temperature is -20 degrees Celsius and maximum - 33 degrees Celsius"
2258,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,Spray Bavistine 30gm/15lit of Water.
2260,ASKED ABOUT MARKET RATE OF POMEGRANATE ?,MARKET RATE OF POMEGRANATE = SANGOLA	900 - 6700 RS/QTL
2264,FARMER ASKED ABOUT MARKET RATE OF ONION  ?,SOLAPUR MARKET RATE OF 100-2600 RS/QTL
2266,Asked contact ICAR-National Research Centre For Grapes ?,ICAR-National Research Centre For Grapes 020 2695 6000
2268,ASKING ABOUT APPLE BOR PLANTATION ?,"Planting of Apples Bore: - Usually in June these bore saplings are planted. Keep the distance between two trees and line 5 by 5 meters or 6 by 6 meters. To buy the ropes or prepare them manually. For the cultivation, dig a pavement of one and a half cubits and put one basket of manure, 250 gm of nitrogen, 500 gm phosphorus and 100 gm of potash, half a kilo lemon cake, 10 gm of ground. With a wild bore, the apple borrows the pen, and it fills the eye."
2270,FERTILIZER DOSE FOR POMEGRANATE(1 YEAR PLANT),Application of urea 108 gm or 250 gm Ammonium Sulfate 250 gm + Single superphosphate 157 gm + zinc sulphate 25 gm + ferrous sulphate 25 gm + Manganese sulfate 25 gm
2288,ASKING ABOUT SUBSIDY ON AGRICULTURAL EQUIPMENTS ?,25-50 %SUBSIDY ON AGRICULTURAL EQUIPMENT MORE DETAIL PLEASE VISIT YOUR TAHASIL AGRICULTURE OFFICER.
2290,ASKED ABOUT MARKET RATE OF ONION?,"MARKET RATE OF ONION - 450, 2200, 1450 RS/QUINTAL"
2292,Asking About Market Rate of Onion?,"Market Rate of Onion-
min-100	    max-2600    average-1000 rupees/qtl"
2294,FARMER ASKED ABOUT MARKET RATE OF ONION?,"MARKET RATE OF ONION-
MIN- 100     MAX- 2600     AVERAGE- 1000     RS/QTL"
2296,FARMER ASKED ABOUT MARKET RATE of POMEGRANATE?,"MARKETE RATE OF  POMEGRANATE-SOLAPUR-1000-7000 , PUNE-2000-15000 RS/QTL"
2302,ASKED ABOUT ATTACK OF CATERPILLAR ON PIGEON PEA ?,Spray Quinolphos 30 ml / 15 liter water
2304,ASKED ABOUT MARKET RATE OFONION ?,MARKET RATE OF ONION - 1500 RS/QUINTAL
2308,Attack of White Grub ?,DRENCHING OF HAMLA 550 500 ML / 200 LITERS OF WATER / ACRE THROUGH DRIP
2312,FARMER ASKED ABOUT MARKET RATE OF  onion?,"MARKET RATE OF onion  -avg =1500 
minimum -1000,maximum-	2100	RS/QTL"
2332,ASKING ABOUT ATTACK OF CATTERPILLAR ON PIGON PEA ?,ATTACK OF CATTERPILLAR ON PIGON PEA-Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta
2334,FERTILIZER SPRAY ON ONION ?,FERTILIZER SPRAY ON ONION- SPRAY 00 52 34 60 GM /15 Lit of Water.
2340,fertilizer,dap 1 bag and ures 1 bag ./acer
2344,asked about caterpillar attack on okra ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-
2346,ASKING ABOUT GOVERNMENT SCHEME ?,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER .
2348,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-16 DEGREE AND MAX.- 29 NO POSSIBILITY OF RAINFALL.
2350,ASKED ABOUT MARKET RATE OF ONION ?,"MARKET RATE OF ONION - 1000, 2000, 1500 RS/QUINTAL"
2352,ASKING ABOUT ATTACK OF CATTERPILLAR ON brinjal  ?,Spray Tracer 05 ml / 15 liter of water (Spinosad)-Dow agro
2354,Attack of White Grub ?,Use Fertera 4 kg /acre
2356,ASKED ABOUT FOR FLOWERING ON LEMON ?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20%)DEVI CROP SCIENCE
2358,ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION -100-2600  RS/QUINTAL
2360,FERTILIZER SPRAY FOR GROWTH of onion  ?,SPRAY 19 19 19 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
2366,asking about FERTILISER DOSE on gram ?,FERTILISER DOSE on gram -  19 19 19 60 GM  + MICROLLA 30 ML + BAVISTIN 30 GM/15 LITER WATER
2368,VARIETIES OF CHILLI ?,VARIETIES OF CHILLI -PUSA JWALA SANKESHWARI-32 TEJSWINI SITARA PHULE JYOTI PANT C AGNIREKHA
2370,ASKED ABOUT FERTILIZER DOSE FOR RIDGE GOURD ?,FERTILIZER DOSE FOR RIDGE GOURD : 19 19 19 3 KILO + MICROLLA 400 MILEE PER ACRE.
2372,Asking About Market Rate of onion  ?,Market Rate of onion :-average rate 1250 rupees/qtl
2374,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK.
2376,Asking About Market Rate of maize ?,Market Rate  of maize -   1400 rupees/qt.
2378,ASKED ABOUT MARKET RATE OF CORIANDER ?,MARKET RATE OF CORIANDER:- 9-11 RS/NAG
2386,ASKED ABOUT MARKET RATE OF ONION?,"MARKET RATE OF ONION - 400,	2450,	1675 RS/QUINTAL"
2388,FERTILIZER SPRAY ON ONION ?,FERTILIZER SPRAY ONION - 00:52:34 60 GM /15 Lit of Water.
2390,asked about nutrient for onion ?,"nutrient for onion - spray 19 19 19 , 60 gm + microla 30 ml / 15 liter water"
2392,FARMER ASKED ABOUT MARKET RATE OF ONION?,MARKET RATE OF ONION - MIN- 400	MAX-2450    AVERAGE- 1675       RS/QTL
2400,DECOMPOSITION OF SUGARCANE TRASH ?,APPLICATION OF UREA 32 KG +SSP 40 KG + DECOMPOSING CULTURE 1 LITER + FYM 40 KG / ACRE
2402,asked about attack of thrips on onion?,spray 3 gm jump (fipronil 80%) / 15litr of water
2406,ASKING ABOUT CONTROLL OF FUNGAL ATTACK ?,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA
2414,Asked about Attack of blight on onion?,Spray of Bavistine 30gm/15lit of Water.
2416,Use of antitransparant ? ????????? ????,Kaolin Spray 800 ML/1000 lit Water Spray.
2420,asked about yellowing of leaves.,Spray m-45 30 gm / 15 liter water.(Mancozeb) INDOFIL
2424,FERTILIZER SPRAY ON BER ?,APPLICATION OF 00 52 34 4KG/ ACRE THROUGH DRIP
2428,ASKED ABOUT MARKET RATE OF ONION  ?,MARKET RATE OF ONION  =  SOLAPUR	100 - 2300  RS/QTL...
2430,FARMER ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF ONION -1000  RS/QTL
2432,Asked About SMS Activation ?,Your SMS Registration process successfully completed.
2434,attack of blight on onion?,blight on onion-Spray Bavistine 30gm/15liter of Water.
2438,FERTILIZER DOSE FOR ONION ?,FERTILIZER DOSE FOR ONION- YOU CAN APPLY 10 26 26 - 1 BAG + 5 KG GADHAK / ACRE
2440,Asking about weather forecast?,This week partially weather is CLOUDY and Possibility of LIGHT Rainfall .
2444,farmer ask about attack of fruit fly on pomegranate ?,attack of fruit fly on pomegranate :- use light trap in field.
2446,Attack of White Grub ?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
2450,ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF onion -400-2450 RS/QUINTAL
2452,Attack of White Grub ?,Use Fertera 4 kg /acre.
2456,WEED MANAGEMENT IN SUGARCANE ?,"SPRAY 2,4 D AMINE SALT 58% SL 40 ML  /15 LITERS OF WATER"
2460,asked about weed control in sugarcane,"If the weeds are high, after 2 months of incidence of sugarcane, after 2 months, it should be sprayed on 2-4-D (base) 1.25 kg per hectare in 500 liters of water, or spray it after 60 days."
2464,Asking about weather forecast ?,"weather is partially cloudy and No Possibility of Rainfall, Temprature Maximum 36 degree Celcius Minimum 20 degree Celcius."
2466,ASKING ABOUT CONTACT NUMBER FOR PRADHANMANTRI CROP INSURANCE SCHEME ?,"CONTACT NUMBER FOR PRADHANMANTRI CROP INSURANCE SCHEME CALL ON  020-41320084  aand 
 1800 118485 THIS NUMBER BEFORE 48 HOURS"
2468,FARMER ASKED ABOUT MARKET RATE OF ONION  ?,SOLAPUR MARKET RATE OF 100-2300 RS  /QTL
2472,Asking About Market Rate of onion ?,Market Rate ofonion -2450   rupees/qtl
2474,FERTILIZER DOSE FOR SUGARCANE ?,APPLICATION OF 10 26 26 2 BAG + UREA 2 BAG + MICRO NUTRIENTS 10 KG + HUMIC ACID 5 KG + NIMBOLI PEND 40 KG/ ACRE
2478,Asking About Market Rate of onion  ?,Market Rate of onion 100	2300  rupees/qtl
2482,asking about FOR FLOWERING  of citrus?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20%)DEVI CROP SCIENCE
2488,FARMER ASKED ABOUT FERTILIZER DOSE FOR ONION ?,"FERTILIZER DOSE FOR ONION - APPLICATION OF 10 26 26 1 BAG/ACRE AND 
SPRAY 00 52 34 60 GM /15 Lit of Water."
2492,VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349
2494,ASKED ABOUT MARKET RATE OF TOMATO  ?,MARKET RATE OF TOMATO = PUNE-PIMPRI  900 - 900  RS/QTL
2496,ASKED ABOUT MARKET RATE OF ONION ?,"MARKET RATE OF ONION -100, 2300, 900 RS/QUINTAL"
2500,FERTILIZER SPRAY ON POMEGRANTE  ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
2502,asked about sucking pest attack in onion ?,Spray Actra 5 gm + bavistin 30 gram /15 Liter of Water(Thiomithoxom 25%)-Syngenta
2504,FARMER ASKED ABOUT MARKET RATE OF ONION  ?,"MARKET RATE OF ONION :- LOWEST - 500, HIGHEST -	2000 ,AVERAGE -	1400  RS/QTL"
2506,ASKED ABOUT ATTACK OF BLIGHT ON MAIZE ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
2512,FERTILIZER DOSE FOR ONION ?,APPLY DAP 1 - 1.5 BAG / ACRE
2514,DRENCHING for onion /,DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER
2516,VARIETIES OF POMOGRANATE ?,"VARIETIES OF POMOGRANATE - GANESH , MASKAT, MRUDULA, G137, FULE ARKTA, BHAGVA"
2520,ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF -100-2300 RS/QUINTAL
2524,FARMER ASKED ABOUT MARKET RATE OF ONION?,MARKET RATE OF 1500  RS/QTL
2526,ASKING ABOUT,WATER MELON-These crops are cultivated in the months of January to February.
2530,Attack  Stem Borer ON MANGO ?,Attack  Stem Borer ON MANGO - SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC)
2534,Asking About Market Rate of onion ?,Market Rate of onion - 100 2300  rupees/qtl
2538,Attack of Thrips on onion ?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
2540,Asking About Market Rate of lemon ?,Market Rate of lemon -SOLAPUR	LOCAL	QUINTAL	17	1000	3000 rupees/qtl
2542,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK TEMP -MIN.-20 DEGREE AND MAX.- 35
2546,Asked about Varieties of bengal gram?,"Varieties of bengal gram-Vijay,digvijay,vishal,virat,phule g-12"
2556,asked about attack of sucking pest,SPRAY Rijent 30 mili  / 15 LITERS OF WATER
2558,Asking About Weather Forecast ?,"??h???? ???????? ????????her ???? ????????????,???????????????????? ???? ??????h?? ????????????????."
2560,Asking about weather forecast?,This week partially weather is CLOUDY and  of Possibility LIGHT Rainfall
2566,ATTACK OF GRAM POD BORER ? ???? ??? ????????,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
2568,Asked about Market rate of banana?,Market rate of banana-700-1000 Rs/qtl.
2570,Asking about weather forecast ?,"Weather Forecast - In the coming week, the atmosphere will remain partially cloudy, maximum temperature is 34 degrees Celsius. The minimum temperature is 19 degrees Celsius."
2572,FARMER ASKED ABOUT MARKET RATE OF ONION?,MARKET RATE OF ONION-400-1800 RS/QTL.
2574,ASKED ABOUT MARKET RATE OF ONION  ?,MARKET RATE OF ONION  -2210 RS/QUINTAL
2576,ONION MARKET RATE ?,ONION MARKET RATE 800 TO 1800 RA /Q
2580,Asking about weather forecast?,"THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK.Mostly clear Feels Like: +35° ,Barometer: 1003.4 hPa 
Dewpoint: +15°, Humidity: 22.5%, Visibility: 10 km"
2597,ATTACK OF SUCKING PEST ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
2598,atack of aphids on onion?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
2602,ASKED ABOUT PHONE NO. OF RAHURI UNIVERSITY ?,"Mahatma Phule Krishi Vidyapeeth-rahuri,Ahmednagar -02426 243373"
2608,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION   750 RS/QTL
2612,Asked about Market rate of onian?,Market rate of onian-1000-1400/qtl.
2614,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION -1000-1000 AVG 1000 RS/QTL
2624,Asked about Attack of Fruit Borer on tomato ?,"Spray Triazhophos 30 ml/15 liter water
SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC)"
2626,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF -200-922 RS/QTL
2630,Asking about weather forecast?,This week weather is Partly cloudy and Possibility of  medium to light Rainfall.
2633,Attack of Leaf Miner ?,Spray Abacin 5 ml/15 liter water(ABAMECTIN)
2636,asked about price of calcium nitrate ?,price of calcium nitrate-105 rs / 1kg
2640,"Asking about weather forecast Tahsil ?
.",Tahsil Weather Report- This week weather is cloudy and Possibility  light Rainfall
2641,asked about  yellow mosaik virus on onion ?,SPRAY M 45 30 GM + actra  5 gm  /15 LITER WATER(mancozeb)Dow Agro
2642,SEED TREATMENT FOR ONION ?,SEED TREATMENT FOR ONION =APPLICATION OF CARBENDAZIM 2 GM/ 10 GM SEED
2646,Asked about Market rate of onian?,Yeola Market rate of onian-200-922/qtl.
2649,asking about ferTilizer spray on ONION?,ferTilizer spray on ONION: 19:19:19 60 GM / 15 LITER WATER.
2652,asked about attack aphids on onion?,attack aphids on onion: BIO 303 - 15 ML / 15 LITERS OF WATER DAMAN
2658,ASKING ABOUT MARKET RATE OF COTTON ?,MARKET RATE OF COTTON : 5300/QTL
2665,Attack of Fruit Borer ?,Spray Takumi 7  GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India
2666,ASKING ABOUT Attack of White Fly ON TOMATO ?,Attack of White Fly ON TOMATO - Spray Marker 30 ml /15 liters of water DHANUKA
2668,ASKING ABOUT CONTACT NUMBER FOR PRADHANMANTRI CROP INSURANCE SCHEME ?,CONTACT NUMBER FOR PRADHANMANTRI CROP INSURANCE SCHEME -1800 2660 700 CALL ON THIS NUMBER BEFORE 48 HOURS
2670,Attack of Fruit Borer ON OKRA  ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
2678,white grub control in onion ?,Humnasur 6 kg/acre(Patil Biotech).
2689,Asking about weather forecast ?,"As per the information received from the Indian Meteorological Department, there is no possibility of rainfall in the district for the next five days. The temperature is 36 degrees maximum"
2706,"ASKED ABOUT ATTACK OF APHIDS ON ONION?
ASKED ABOUT FERTILIZER DOSE FOR ONION ?","Spray Actra 5 gm + Bavistin- 30 gram /15 Liter of Water(Thiomithoxom 25%)-Syngenta
FERTIIZER DOSE -15:15:15-1 BAG / ACRE"
2709,aatack of aphid on guava ?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
2713,ASKED ABOUT VARIETIES OF CHILLI?,VARIETIES OF CHILLI -PUSA JWALA SANKESHWARI-32 TEJSWINI SITARA PHULE JYOTI PANT C AGNIREKHA
2714,Attack  Stem Borer?,SPRAY SOLOMON 8ML /15 LIT WATER
2717,Asking About Weather Forecast?,This Week Weather Is Partly Cloudy & Possibility of lightRainfall.
2726,FARMER ASKED ABOUT MARKET RATE OF ONION ?,UMRAN ONION MARKET RATE OF 451-1022 /QTL
2727,FERTILIZER SPRAY FOR GROWTH on onion?,SPRAY 19 19 19 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
2729,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of   LIGHT  Rainfall
2730,Attack of Powdery or Downy or Blight ?,Spray Amistar 5 ml/15 Liter of Water (Azactrostrobin)-Syngenta
2732,ASKING ABOUT fungal attack on tomato ?,fungal attack on tomato - spray OF BLUE COPPER 40 GM /15 LITER WATER.
2735,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE
2736,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of   LIGHT Rainfall.
2740,ATTACK OF APHIDS ? ????,SPRAY ROGAR 15 ML /15 liter water (Dimethoate 30% EC)
